2025-06-20 18:34:15,465 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:15,485 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3016 (threshold: 0.4)
2025-06-20 18:34:15,530 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:15,551 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3245 (threshold: 0.4)
2025-06-20 18:34:15,596 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:15,627 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:15,647 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3162 (threshold: 0.4)
2025-06-20 18:34:15,697 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:15,718 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.3129 (threshold: 0.4)
2025-06-20 18:34:15,763 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:15,796 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:15,828 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:15,861 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:15,897 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:15,930 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:15,962 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:15,995 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:16,064 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,085 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2993 (threshold: 0.4)
2025-06-20 18:34:16,133 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:16,166 | INFO     | core.recognition_system:218 | Valid detections above threshold: 0/896
2025-06-20 18:34:16,198 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,218 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2988 (threshold: 0.4)
2025-06-20 18:34:16,262 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,281 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2993 (threshold: 0.4)
2025-06-20 18:34:16,328 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,347 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2981 (threshold: 0.4)
2025-06-20 18:34:16,363 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,383 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2967 (threshold: 0.4)
2025-06-20 18:34:16,428 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,447 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2966 (threshold: 0.4)
2025-06-20 18:34:16,497 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,517 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2819 (threshold: 0.4)
2025-06-20 18:34:16,563 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,582 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2872 (threshold: 0.4)
2025-06-20 18:34:16,629 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,649 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2815 (threshold: 0.4)
2025-06-20 18:34:16,698 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,717 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2765 (threshold: 0.4)
2025-06-20 18:34:16,763 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,783 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2732 (threshold: 0.4)
2025-06-20 18:34:16,830 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,849 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2676 (threshold: 0.4)
2025-06-20 18:34:16,897 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,917 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2582 (threshold: 0.4)
2025-06-20 18:34:16,963 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:16,983 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2613 (threshold: 0.4)
2025-06-20 18:34:17,028 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:17,048 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2719 (threshold: 0.4)
2025-06-20 18:34:17,097 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:17,117 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2672 (threshold: 0.4)
2025-06-20 18:34:17,164 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:17,184 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2552 (threshold: 0.4)
2025-06-20 18:34:17,228 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:17,248 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2556 (threshold: 0.4)
2025-06-20 18:34:17,297 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:17,316 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2673 (threshold: 0.4)
2025-06-20 18:34:17,364 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:17,384 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2470 (threshold: 0.4)
2025-06-20 18:34:17,429 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:17,449 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2350 (threshold: 0.4)
2025-06-20 18:34:17,498 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:17,518 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2420 (threshold: 0.4)
2025-06-20 18:34:17,564 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:17,583 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2328 (threshold: 0.4)
2025-06-20 18:34:17,629 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:17,648 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2409 (threshold: 0.4)
2025-06-20 18:34:17,698 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:17,718 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2334 (threshold: 0.4)
2025-06-20 18:34:17,764 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:17,784 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2317 (threshold: 0.4)
2025-06-20 18:34:17,829 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:17,848 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2339 (threshold: 0.4)
2025-06-20 18:34:17,898 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:17,918 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2307 (threshold: 0.4)
2025-06-20 18:34:17,964 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:17,984 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2323 (threshold: 0.4)
2025-06-20 18:34:18,029 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,049 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2418 (threshold: 0.4)
2025-06-20 18:34:18,097 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,117 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2389 (threshold: 0.4)
2025-06-20 18:34:18,164 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,184 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2395 (threshold: 0.4)
2025-06-20 18:34:18,229 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,249 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2384 (threshold: 0.4)
2025-06-20 18:34:18,297 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,317 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2446 (threshold: 0.4)
2025-06-20 18:34:18,364 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,384 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2303 (threshold: 0.4)
2025-06-20 18:34:18,430 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,450 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2270 (threshold: 0.4)
2025-06-20 18:34:18,498 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,518 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2216 (threshold: 0.4)
2025-06-20 18:34:18,563 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:18,583 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2183 (threshold: 0.4)
2025-06-20 18:34:18,629 | INFO     | core.recognition_system:218 | Valid detections above threshold: 1/896
2025-06-20 18:34:18,649 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2113 (threshold: 0.4)
2025-06-20 18:34:18,698 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,718 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2088 (threshold: 0.4)
2025-06-20 18:34:18,764 | INFO     | core.recognition_system:218 | Valid detections above threshold: 2/896
2025-06-20 18:34:18,783 | INFO     | core.recognition_system:284 | Cosine similarity score: 0.2034 (threshold: 0.4)
